      2,814,712  GC Heap bytes
         42,257  GC Heap objects

   Object Bytes     Count  Type
         22,096         1  System.Collections.Generic.Dictionary.Entry<System.Int32,System.Diagnostics.Tracing.EventSource.EventMetadata>[] (Bytes > 10K)  [Module(0xb400007cb6925060)]
         22,088         1  System.Collections.Generic.Dictionary.Entry<System.IntPtr,Android.Runtime.IdentityHashTargets>[] (Bytes > 10K)  [Module(0xb400007cb6925060)]
          5,360         4  System.String (Bytes > 1K)  [Module(0xb400007cb6925060)]
          5,360         1  System.Threading.PortableThreadPool.HillClimbing.LogEntry[] (Bytes > 1K)  [Module(0xb400007cb6925060)]
          5,360         1  System.Collections.Generic.Dictionary.Entry<System.IntPtr,System.IDisposable>[] (Bytes > 1K)  [Module(0xb400007cb6925060)]
          5,360         1  System.String[] (Bytes > 1K)  [Module(0xb400007cb6925060)]
          4,016         1  System.TimeZoneInfo.AdjustmentRule[] (Bytes > 1K)  [Module(0xb400007cb6925060)]
          2,680         3  System.Int32[] (Bytes > 1K)  [Module(0xb400007cb6925060)]
          2,296         1  System.Collections.Generic.Dictionary.Entry<System.String,System.Type>[] (Bytes > 1K)  [Module(0xb400007cb6925060)]
          2,296         1  System.Collections.Generic.Dictionary.Entry<System.Type,Microsoft.Extensions.DependencyInjection.ServiceDescriptor>[] (Bytes > 1K)  [Module(0xb400007cb6925060)]
          1,784         1  System.Collections.Generic.HashSet.Entry<System.Type>[] (Bytes > 1K)  [Module(0xb400007cb6925060)]
          1,784         1  System.Collections.Generic.Dictionary.Entry<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceIdentifier,Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteFactory.ServiceDescriptorCacheItem>[] (Bytes > 1K)  [Module(0xb400007cb6925060)]
          1,784         1  System.Collections.Concurrent.ConcurrentDictionary.VolatileNode<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceCacheKey,Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceCallSite>[] (Bytes > 1K)  [Module(0xb400007cb6952ba0)]
